,rownum,adult,budget,genres,production_companies,release_date,revenue,runtime,DirectorHistoryGross,ActorHistoryAverage_Gross,production_history_gross,genre_10752,genre_12,genre_14,genre_16,genre_80,genre_18,genre_10769,genre_10770,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_99,genre_37,genre_878,genre_9648,genre_53,genre_10749,genre_10751
38,93,0,50000000.0,"[28, 12, 18, 53]","[306, 456, 11362]",1996-02-09,150270147.0,108.0,74189677.0,28492921611.0,1241429178.6666667,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
39,99,0,7000000.0,"[35, 80, 18]","[18, 441]",1996-02-21,560069.0,91.0,1.0,153764402881.0,510339521.5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,102,0,12000000.0,[35],"[33, 1606, 3929]",1996-02-16,41205099.0,92.0,1.0,76961528154.0,1686324023.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
41,103,0,24000000.0,"[18, 10749]","[56, 171, 6194]",1995-05-28,182016617.0,135.0,315922320.0,21467469197.0,2367223294.6666665,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42,108,0,72000000.0,"[28, 18, 36, 10752]","[4564, 7965, 11353]",1995-05-24,210000000.0,177.0,1.0,221457670902.0,0.3333333333333333,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
43,117,0,25000000.0,"[35, 18]",[11308],1995-09-29,6278139.0,113.0,525438899.0,1793511092.0,37108587.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,120,0,40000000.0,"[35, 10749]",[4],1992-06-30,70100000.0,117.0,1.0,7301904504.0,857638942.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
45,123,0,7000000.0,"[35, 10749]",[14],1996-03-22,14702438.0,92.0,1.0,129546678475.0,480085922.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
46,130,0,50000000.0,"[28, 53, 9648, 10749]",[4],1995-10-13,9851610.0,95.0,1.0,495804063.0,3086381759.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
47,139,0,31000000.0,[35],[60],1996-03-08,185260553.0,117.0,1.0,3977854576.0,581451786.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48,142,0,19000000.0,"[28, 35, 80, 53]","[5, 10288]",1995-04-07,141407024.0,118.0,1.0,118925811571.0,284578436.5,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
49,145,0,4000000.0,"[10749, 18, 35]","[8, 5996, 12745, 16027]",1995-07-21,851545.0,113.0,254700832.0,90689833662.0,23997487.25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
50,147,0,52000000.0,[18],"[23, 33]",1995-06-30,355237933.0,140.0,290152425.0,47944727039.0,2091436977.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,148,0,28000000.0,[12],"[60, 8989]",1995-04-13,31596911.0,139.0,1.0,159093382289.0,59973179.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,150,0,100000000.0,"[28, 80, 14]","[6194, 31080]",1995-06-16,336529144.0,121.0,158518804.0,3159553773.0,2307289913.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53,153,0,2000000.0,[35],"[14, 30334]",1995-09-15,1275000.0,83.0,32861136.0,47160872300.0,212849221.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
54,154,0,11000000.0,"[28, 35]",[1382],1995-06-08,178104.0,91.0,1.0,43500181284.0,722248976.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
55,155,0,50000000.0,"[14, 35, 10751]","[33, 56, 11098]",1995-05-26,287928194.0,100.0,1.0,266111295477.0,1859304601.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
56,156,0,25000000.0,"[9648, 80, 18]","[33, 4319]",1995-09-15,13071518.0,128.0,80652590.0,1006372689244.0,2381776952.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,157,0,50000000.0,"[28, 12, 18, 9648, 878, 53]","[4, 7383]",1995-06-09,152022101.0,109.0,36733909.0,65424082646.0,1455155829.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0
58,158,0,53000000.0,"[28, 53, 18]","[915, 10288]",1995-05-12,157387195.0,116.0,71791476.0,22064940398.0,437744858.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
59,160,0,7000000.0,"[53, 28, 80]","[5, 11705]",1995-08-25,25405445.0,104.0,1.0,24741029803.0,404876334.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
60,161,0,27000000.0,"[18, 9648, 53]","[559, 2510]",1995-09-15,16140822.0,102.0,1.0,24512558563.0,945772581.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
61,162,0,90000000.0,"[28, 53]","[306, 1504]",1995-05-19,366101666.0,128.0,137298489.0,3722462494.0,1641100055.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
62,165,0,55000000.0,"[28, 12, 18, 10749]","[441, 10158]",1995-07-07,127600435.0,134.0,1.0,87135280713.0,379039304.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
